email,categoria
Consegui terminar todas as tarefas do dia,Produtivo
Foquei em estudar Python por duas horas,Produtivo
Resolvi três bugs importantes no sistema,Produtivo
Aprendi um novo conceito de machine learning,Produtivo
Escrevi um artigo técnico para o meu portfólio,Produtivo
Finalizei o relatório semanal sem atrasos,Produtivo
Participei de uma reunião e apresentei soluções,Produtivo
Implementei uma nova funcionalidade no projeto,Produtivo
Organizei os arquivos e pastas do repositório,Produtivo
Refatorei o código para melhorar a performance,Produtivo
Assisti uma aula de estatística e fiz anotações,Produtivo
Modelei um banco de dados para um projeto,Produtivo
Pratiquei exercícios de SQL,Produtivo
Estudei regressão linear com exemplos práticos,Produtivo
Li um capítulo do livro de data science,Produtivo
Preparei slides para apresentação acadêmica,Produtivo
Treinei modelos de classificação no scikit-learn,Produtivo
Organizei a agenda da semana,Produtivo
Criei um diagrama ER para o sistema da oficina,Produtivo
Publiquei um projeto novo no GitHub,Produtivo
Concluí um curso online com certificado,Produtivo
Pesquisei soluções para um problema técnico,Produtivo
Implementei testes unitários no código,Produtivo
Montei um dashboard no Power BI,Produtivo
Revisei código de um colega no GitHub,Produtivo
Resolvi exercícios de lógica de programação,Produtivo
Avancei no curso de SQL avançado,Produtivo
Aprendi sobre joins complexos no banco de dados,Produtivo
Testei um modelo de NLP com TF-IDF,Produtivo
Implementei autenticação no sistema web,Produtivo
Organizei minhas anotações de estudo,Produtivo
Pratiquei exercícios de probabilidade,Produtivo
Implementei um pipeline de ETL simples,Produtivo
Criei queries complexas no PostgreSQL,Produtivo
Estudei normalização de bancos de dados,Produtivo
Implementei um CRUD com Flask,Produtivo
Documentei um projeto no README,Produtivo
Treinei um modelo de árvore de decisão,Produtivo
Implementei paginação em um endpoint,Produtivo
Estudei aprendizado supervisionado,Produtivo
Pratiquei exercícios de cálculo diferencial,Produtivo
Consegui automatizar uma tarefa repetitiva,Produtivo
Testei consultas com índices no banco,Produtivo
Fiz anotações sobre estatística descritiva,Produtivo
Implementei cache em uma aplicação web,Produtivo
Consegui melhorar a acurácia do modelo,Produtivo
Organizei minhas tarefas no Trello,Produtivo
Avancei no projeto de veículo autônomo,Produtivo
Criei visualizações com matplotlib,Produtivo
Implementei regressão logística,Produtivo
Passei o dia todo assistindo séries,Improdutivo
Fiquei rolando o feed do Instagram,Improdutivo
Joguei videogame por horas sem parar,Improdutivo
Fiquei deitado sem fazer nada,Improdutivo
Assisti vídeos aleatórios no YouTube,Improdutivo
Dormi a tarde inteira sem necessidade,Improdutivo
Passei muito tempo conversando no WhatsApp,Improdutivo
Procrastinei em todas as tarefas,Improdutivo
Fiquei navegando sem rumo na internet,Improdutivo
Fiquei pensando na vida sem agir,Improdutivo
Maratonei uma temporada inteira de série,Improdutivo
Esqueci de revisar o código,Improdutivo
Deixei para amanhã as tarefas de hoje,Improdutivo
Fiquei horas no TikTok,Improdutivo
Não consegui me concentrar no estudo,Improdutivo
Fiquei mexendo no celular sem parar,Improdutivo
Joguei no computador a tarde toda,Improdutivo
Assisti memes no YouTube,Improdutivo
Passei tempo demais com fofocas,Improdutivo
Fiquei navegando em sites de compras,Improdutivo
Deixei de fazer os exercícios,Improdutivo
Me distraí o dia todo,Improdutivo
Adiei a leitura do material de estudo,Improdutivo
Esqueci de organizar minhas anotações,Improdutivo
Não participei da reunião importante,Improdutivo
Passei tempo demais assistindo futebol,Improdutivo
Fiquei deitado mexendo no celular,Improdutivo
Não avancei em nenhum projeto,Improdutivo
Procrastinei a escrita do relatório,Improdutivo
Perdi tempo em jogos de celular,Improdutivo
Deixei de praticar programação,Improdutivo
Esqueci de revisar o conteúdo do curso,Improdutivo
Não fiz nada produtivo o dia inteiro,Improdutivo
Fiquei navegando sem propósito,Improdutivo
Perdi o dia inteiro em redes sociais,Improdutivo
Deixei o projeto para depois,Improdutivo
Assisti vídeos engraçados a tarde toda,Improdutivo
Não entreguei a atividade no prazo,Improdutivo
Fiquei enrolando no sofá,Improdutivo
Passei horas sem foco no PC,Improdutivo
Esqueci de estudar SQL,Improdutivo
Não terminei nenhuma tarefa,Improdutivo
Fiquei sonhando acordado,Improdutivo
Deixei de praticar Python,Improdutivo
Passei o dia todo sem foco,Improdutivo
Procrastinei meus estudos,Improdutivo
Não escrevi nada no projeto,Improdutivo
Passei a noite vendo memes,Improdutivo
Fiquei vendo vídeos aleatórios,Improdutivo
Não cumpri minha meta de estudo,Improdutivo
